,token,lisa
401,shot,0.06022061450236312
402,grave,0.088165544791395
403,hero,0.020192369903943568
404,bury,0.038606969371848876
405,mass,0.03232644786676846
406,men,0.04101794268503774
407,serve,-0.03131240304899094
408,state,-0.01634421204137533
409,thus,-0.04578194840191717
410,men,0.061528465845656244
411,mainly,-0.00018303718623625823
412,machine,0.017531358770323004
413,body,0.03437420518415203
414,stand,0.001217103996306739
415,army,0.04673804388048507
416,militia,0.06609055230567559
417,jailer,0.048967293318053745
418,constables,0.06356557656259858
419,posse,0.03676312243891411
420,comitatus,0.03792346638375038
421,etc,0.003021896074105468
422,case,-0.006694265983923858
423,free,-0.015032942122583916
424,exercise,0.010626181234622032
425,whatever,-0.0336580620988352
426,judgement,-0.009665791489806548
427,moral,-0.005565872561819124
428,sense,-0.009940878937324222
429,put,-0.02149884517976986
430,level,0.018985166559587482
431,wood,0.03454322614392148
432,earth,-0.014219046927188705
433,stone,0.03946243129434344
434,wooden,0.05343557824089046
435,men,0.053577959408508534
436,perhaps,-0.006247059835207093
437,manufacture,0.013936553022200851
438,serve,-0.013340771557456034
439,purpose,0.016020239547475036
440,well,0.01135524202891227
441,command,0.020260984277496105
442,respect,-0.022694180644847507
443,men,0.016152201721754907
444,straw,0.03527746715076133
445,lump,0.004325929242197302
446,dirt,0.022223818051665973
447,sort,0.01099599863647196
448,worth,0.003145431608308767
449,horse,0.03515228759438858
450,dog,0.021449324719942105
451,yet,-0.014017254719484788
452,even,-0.0156671157921673
453,commonly,0.03269955468916077
454,esteem,0.015085117734276723
455,good,-0.002649893794784625
456,citizen,0.0008181943286921199
457,legislator,0.0406837847519391
458,politician,0.046645166320011484
459,lawyer,0.026648290566045837
460,minister,0.018653976419726288
461,state,0.013261877665335665
462,chiefly,0.039063614554321634
463,head,0.005904054081684387
464,rarely,0.018869092018240708
465,make,-0.04996587198725285
466,moral,0.01746012209907567
467,distinction,0.029183591813691064
468,likely,0.006326034401755338
469,serve,-0.013748028510409968
470,devil,0.02451570830965261
471,without,-0.014233081936867361
472,intend,-0.03551298398612134
473,god,0.01385813486959296
474,hero,0.026841480114965684
475,patriots,0.005203154043734292
476,martyrs,0.01633820870395695
477,reformer,0.032995560568306964
478,great,0.01139374403929372
479,sense,-0.01075616888295447
480,state,0.012346627246215056
481,conscience,-0.004491201091928395
482,also,0.006528891831926569
483,necessarily,-0.02267723086740973
484,resist,0.0014958470651049312
485,part,0.004241491231583328
486,commonly,0.02203994610280216
487,treat,-0.004382790643099921
488,enemy,-0.00482182677916361
489,wise,-0.0043651127568233306
490,man,0.008588797024309583
491,useful,0.0124486147157472
492,man,0.007078060313712178
493,submit,-0.029387862445916173
494,clay,0.022661767018964534
495,stop,-0.003847781163028199
496,hole,0.004091356432253699
497,keep,-0.011100421123479698
498,wind,0.007638687146475349
499,away,-0.00818902074448718
500,leave,-0.021965180865616784
501,office,-0.017558797455522444
502,dust,0.021237974078037174
503,least,-0.00705523927295873
504,high,0.002159195565723823
505,bear,0.009330673263490767
506,propertied,-0.009429213125136992
507,second,-0.0054337928221634205
508,control,0.009217736427015445
509,useful,0.010475136830382982
510,servingman,0.004817136638984966
511,instrument,0.00320778226428752
512,sovereign,-0.00932439022087067
513,state,-0.020780132495819927
514,throughout,-0.01586563372097605
515,world,0.0020646972555191678
516,give,0.004008481388961316
517,entirely,0.006978412545307588
518,fellow,0.006364948243451364
519,men,-0.02055225501768162
520,appear,-0.011942614805734341
521,useless,-0.004575083820801354
522,selfish,-0.007026396564485789
523,give,-0.010915508890893247
524,partially,0.011571654186409874
525,pronounced,-0.01091052114345457
526,benefactor,0.02460800254901935
527,philanthropist,0.038261800062483045
528,become,0.006381349661455489
529,man,-0.021446729154759238
530,behave,-0.005170692870452675
531,toward,0.011321223384800853
532,american,0.0066682759098098815
533,government,0.0674724523758348
534,today,-0.02240417968545417
535,answer,-0.028501198962986415
536,without,-0.01910307298310711
537,disgrace,0.006582146951532283
538,associate,0.012784576251773903
539,instant,-0.02787018825553435
540,recognize,0.032130729318870455
541,political,0.036063386421865296
542,organization,0.02547334488811526
543,government,0.043049341754855926
544,slave,-0.0122932535331945
545,government,0.07025442436888746
546,also,-0.023712912343265596
547,men,-0.022124973750855977
548,recognize,0.03301921548136243
549,right,-0.004239865375958333
550,revolution,0.05760685239616678
551,right,-0.005419541709472768
552,refuse,0.009954569316800575
553,allegiance,0.023388988493139473
554,resist,0.009970000915865274
555,government,0.07952171309225413
556,tyranny,0.03779385251924691
557,inefficiency,0.04353387028322815
558,great,-0.00822784311905193
559,unendurable,0.0029453817218357643
560,almost,-0.011566993979461261
561,say,-0.00925920872059524
562,case,0.00919438742068958
563,case,0.007145538044689444
564,think,-0.0123848983048086
565,revolution,0.037915661474577526
566,one,-0.017336303391230677
567,tell,-0.01381586783950391
568,bad,0.017728823730440768
569,government,0.02378949766169976
570,tax,0.005569951274618094
571,certain,-0.002668451839608226
572,foreign,0.00666420794071248
573,commodity,0.0066068544497665535
574,bring,0.003965816643165859
575,port,-0.006221890700004827
576,probable,0.0025990655462974147
577,make,0.012217668262061799
578,ado,0.01655626491444204
579,without,0.005458248344617979
580,machine,0.036508101068486565
581,friction,0.04432746007125554
582,possibly,0.014787642440676305
583,enough,-0.006049971058221055
584,good,0.00439608915313323
585,counterbalance,0.003151781313632172
586,evil,0.020442162729363823
587,rate,0.02130762045902144
588,great,0.005184942111272354
589,evil,0.024595840074444725
590,make,-0.0035264887017487376
591,stir,0.01982776845740895
592,friction,0.034925974066846624
593,come,-0.008282187979114052
594,machine,0.03967749116886408
595,oppression,0.026945640803395763
596,robbery,0.0011224920012701898
597,organize,-0.002741924468567047
598,say,-0.028935037290785514
599,let,-0.007291154592294563
600,u,0.02206427089128768
601,machine,0.047933881106691174
602,longer,-0.021116493925217906
603,word,-0.0066152555515966525
604,sixth,-0.0036844850333118814
605,population,0.010080511568296202
606,nation,0.02558944793861327
607,undertaken,0.005901199095756182
608,refuge,0.03557302970728604
609,liberty,-0.010781158687820536
610,slave,0.023098493217035256
611,whole,0.006146992151316079
612,country,0.045486734123241286
613,unjustly,0.007176848952094601
614,overrun,0.08303037007286464
615,conquered,0.06690406096583312
616,foreign,0.002111866848507895
617,army,0.08247996788175752
618,subject,-0.004002125812316158
619,military,0.07010277604977612
620,law,0.019587727114502004
621,think,-0.05529732542662486
622,soon,0.0013605079245178002
623,honest,-0.028999317700870077
624,men,0.009139887211758698
625,rebel,0.05068605976655339
626,revolutionize,-0.013512082765697925
627,make,-0.058187456465624884
628,duty,0.02978612698731071
629,urgent,0.031238210241520185
630,fact,-0.01232198091321451
631,country,0.04505430307830906
632,overrun,0.06826170755425025
633,invade,0.044713552815671645
634,army,0.09315976908273726
635,paley,-0.012700368979728881
636,common,-0.0043826869139051835
637,authority,0.04095691626404626
638,many,-0.0018987970872624221
639,moral,0.015393503033258886
640,question,0.010376642229419043
641,chapter,0.009447973870264501
642,duty,0.032079646998962805
643,submission,0.00835496772533557
644,civil,0.0731219941631453
645,government,0.0658564347394139
646,resolve,0.03673962814140653
647,civil,0.06470060543508752
648,obligation,0.045041706729916316
649,expediency,0.036558743612510575
650,proceeds,-0.020585694785435375
651,say,-0.042978590866545284
652,long,0.014077445259770152
653,interest,0.022515807297545022
654,whole,0.002259596107451987
655,society,0.03446832423384247
656,require,0.02259745968425022
657,long,0.015305536873178417
658,established,0.010888069058304257
659,government,0.06216301820581574
660,resist,-0.003057461500569447
661,change,0.019099012274383004
662,without,0.00763263031387324
663,public,0.03403938929680266
664,inconvenience,0.04466391349138451
665,god,-0.022891911859723356
666,establish,0.013649707146066397
667,government,0.04521082745704557
668,longer,0.023103933544821136
669,principle,0.039722688495440556
670,admit,0.010228439417539278
671,justice,0.015562604065814114
672,every,0.014857122549053844
673,particular,0.036630524371295374
674,case,0.04653392783247598
675,resistance,0.010412446757390533
676,reduce,0.04800083489960459
677,computation,0.03073295802464797
678,quantity,0.01598941052142687
679,danger,-0.005745336782775246
680,grievance,0.032424983026778424
